Date,BND,SPY,TSLA
2015-01-02,59.4053840637207,169.68783569335938,14.620667457580566
2015-01-05,59.57789993286133,166.62335205078125,14.005999565124512
2015-01-06,59.75039291381836,165.05393981933594,14.085332870483398
2015-01-07,59.78635787963867,167.1106719970703,14.063332557678223
2015-01-08,59.69289779663086,170.07606506347656,14.041333198547363
2015-01-09,59.79351806640625,168.71319580078125,13.77733325958252
2015-01-12,59.87261199951172,167.39154052734375,13.480667114257812
2015-01-13,59.93008041381836,166.92071533203125,13.616666793823242
2015-01-14,60.0666618347168,165.91297912597656,12.845999717712402
2015-01-15,60.332618713378906,164.39312744140625,12.791333198547363
2015-01-16,60.15291213989258,166.54905700683594,12.871333122253418
2015-01-20,60.088233947753906,166.90419006347656,12.795332908630371
2015-01-21,59.97322463989258,167.74668884277344,13.104666709899902
2015-01-22,59.98759078979492,170.2412109375,13.441332817077637
2015-01-23,60.18166732788086,169.30784606933594,13.419333457946777
2015-01-26,60.109779357910156,169.70436096191406,13.770000457763672
2015-01-27,60.14572525024414,167.4658660888672,13.732000350952148
2015-01-28,60.36133575439453,165.31822204589844,13.291333198547363
2015-01-29,60.29669189453125,166.8463592529297,13.680000305175781
2015-01-30,60.627296447753906,164.748291015625,13.573332786560059
2015-02-02,60.55525207519531,166.7885284423828,14.062666893005371
2015-02-03,60.3680305480957,169.20053100585938,14.557332992553711
2015-02-04,60.389583587646484,168.55621337890625,14.569999694824219
2015-02-05,60.259979248046875,170.25778198242188,14.732666969299316
2015-02-06,59.871055603027344,169.78697204589844,14.490667343139648
2015-02-09,59.849449157714844,169.0270538330078,14.498666763305664
2015-02-10,59.74140548706055,170.82774353027344,14.419333457946777
2015-02-11,59.74140548706055,170.9268798828125,14.186667442321777
2015-02-12,59.770259857177734,172.5706329345703,13.525333404541016
2015-02-13,59.63337707519531,173.28099060058594,13.584667205810547
2015-02-17,59.39574432373047,173.55361938476562,13.623332977294922
2015-02-18,59.56138610839844,173.57015991210938,13.630666732788086
2015-02-19,59.510955810546875,173.44618225097656,14.11400032043457
2015-02-20,59.52535629272461,174.48696899414062,14.473999977111816
2015-02-23,59.647762298583984,174.46226501464844,13.822667121887207
2015-02-24,59.892704010009766,174.95777893066406,13.607333183288574
2015-02-25,59.95027160644531,174.80911254882812,13.583999633789062
2015-02-26,59.784637451171875,174.6025848388672,13.812666893005371
2015-02-27,59.835044860839844,174.0079345703125,13.555999755859375
2015-03-02,59.64167785644531,175.1064910888672,13.155332565307617
2015-03-03,59.56952667236328,174.38784790039062,13.303999900817871
2015-03-04,59.56952667236328,173.65269470214844,13.496000289916992
2015-03-05,59.60557174682617,173.84268188476562,13.375332832336426
2015-03-06,59.259185791015625,171.397705078125,12.925333023071289
2015-03-09,59.33139419555664,172.10804748535156,12.725333213806152
2015-03-10,59.562320709228516,169.31614685058594,12.687999725341797
2015-03-11,59.62723159790039,168.91970825195312,12.916000366210938
2015-03-12,59.67055892944336,171.06729125976562,12.73799991607666
2015-03-13,59.61280059814453,170.0182647705078,12.578666687011719
2015-03-16,59.728267669677734,172.28977966308594,13.046667098999023
2015-03-17,59.778778076171875,171.77767944335938,12.982000350952148
2015-03-18,60.14677429199219,173.84268188476562,13.380666732788086
2015-03-19,59.96638107299805,173.04969787597656,13.043333053588867
2015-03-20,60.125152587890625,174.57720947265625,13.20533275604248
2015-03-23,60.15404510498047,174.23703002929688,13.308667182922363
2015-03-24,60.255043029785156,173.2579803466797,13.447999954223633
2015-03-25,60.16126251220703,170.71908569335938,12.953332901000977
2015-03-26,59.96638107299805,170.3125457763672,12.694000244140625
2015-03-27,60.02411651611328,170.70252990722656,12.333333015441895
2015-03-30,60.09630584716797,172.78504943847656,12.704667091369629
2015-03-31,60.16126251220703,171.27503967285156,12.584667205810547
2015-04-01,60.400630950927734,170.6693115234375,12.505999565124512
2015-04-02,60.32107162475586,171.28330993652344,12.733332633972168
2015-04-06,60.371726989746094,172.4365692138672,13.539999961853027
2015-04-07,60.40786361694336,171.98025512695312,13.550000190734863
2015-04-08,60.36446762084961,172.56103515625,13.844667434692383
2015-04-09,60.23428726196289,173.32432556152344,14.005999565124512
2015-04-10,60.20534133911133,174.27017211914062,14.0600004196167
2015-04-13,60.219810485839844,173.48199462890625,13.985333442687988
2015-04-14,60.328311920166016,173.8138885498047,13.830666542053223
2015-04-15,60.38618850708008,174.5937957763672,13.85533332824707
2015-04-16,60.371726989746094,174.5440216064453,13.779999732971191
2015-04-17,60.47298812866211,172.53616333007812,13.78600025177002
2015-04-20,60.40786361694336,174.11257934570312,13.684666633605957
2015-04-21,60.335514068603516,173.90513610839844,13.96066665649414
2015-04-22,60.111324310302734,174.7597198486328,14.629332542419434
2015-04-23,60.22705841064453,175.19949340820312,14.573332786560059
2015-04-24,60.32107162475586,175.60606384277344,14.562000274658203
2015-04-27,60.277679443359375,174.87591552734375,15.436667442321777
2015-04-28,60.0896110534668,175.43177795410156,15.36533260345459
2015-04-29,59.901519775390625,174.70994567871094,15.49666690826416
2015-04-30,59.966670989990234,172.9592742919922,15.069999694824219
2015-05-01,59.78477478027344,174.8343963623047,15.0686674118042
2015-05-04,59.69780731201172,175.3321990966797,15.36733341217041
2015-05-05,59.603607177734375,173.32432556152344,15.529999732971191
2015-05-06,59.43693161010742,172.6107940673828,15.362000465393066
2015-05-07,59.56012725830078,173.29946899414062,15.786666870117188
2015-05-08,59.71961212158203,175.58119201660156,15.77400016784668
2015-05-11,59.40795135498047,174.74313354492188,15.965999603271484
2015-05-12,59.33549118041992,174.2204132080078,16.31599998474121
2015-05-13,59.30647277832031,174.25355529785156,16.211999893188477
2015-05-14,59.4224853515625,176.07070922851562,16.273332595825195
2015-05-15,59.66157531738281,176.261474609375,16.589332580566406
2015-05-18,59.44419479370117,176.80911254882812,16.583332061767578
2015-05-19,59.313777923583984,176.7510528564453,16.47599983215332
2015-05-20,59.313777923583984,176.62660217285156,16.290000915527344
2015-05-21,59.50215530395508,177.14100646972656,16.374666213989258
2015-05-22,59.46590042114258,176.7178497314453,16.51533317565918
2015-05-26,59.610836029052734,174.8177947998047,16.497333526611328
2015-05-27,59.63987731933594,176.4772186279297,16.495332717895508
2015-05-28,59.64710235595703,176.27809143066406,16.76333236694336
2015-05-29,59.66884231567383,175.182861328125,16.719999313354492
2015-06-01,59.4698486328125,175.53961181640625,16.6299991607666
2015-06-02,59.3028564453125,175.36544799804688,16.55666732788086
2015-06-03,59.041473388671875,175.8300323486328,16.599332809448242
