,VaR (95%),CVaR (95%),Sharpe Ratio,Max Drawdown,Annual Volatility
BND,-0.004756591715924496,-0.007428810067806003,-0.0008087038221825526,-0.18582064543452503,0.053135478913425196
SPY,-0.016650260002859595,-0.02682825029520653,0.7041776427444671,-0.3371725940589355,0.17654666409338837
TSLA,-0.05166375515284559,-0.07862087645673846,0.7594581853138581,-0.7363221744219122,0.5717745849232518
